"Background_characteristic","no_children","one_children","two_children","three_children","four_children","five_children","six_and_more_children","total"
"Urban",93.5,96.7,97.9,98.5,97.9,98.4,98.1,97.5
"Rural",86.9,93.6,94.7,94.4,94.5,91.4,91.5,92.9
"JavaBali",89.4,95.9,96.4,97.2,95.5,95.4,95.6,95.4
"Outer Java-Bali I",85.6,89.6,93.3,91.6,96,90.5,90.9,91.5
"Outer Java-Bali II",90,94.2,94.5,95.2,93.5,90.3,90,92.9
"Jakarta",97.7,98.5,99.3,98.7,97.6,97.7,98.7,98.5
"West Java",97.7,98.4,98.3,99.3,97.4,97.2,97.3,98.1
"Central Java",91.8,97.6,98,99.1,96.3,99,98.7,97.5
"Yogyakarta",97.7,99.6,99.3,100,100,98.9,98.9,99.4
"East Java",78.3,91.6,92.3,92.7,91.3,85.8,87.7,89.7
"Bali",83.4,97.7,98.8,97.5,95.8,93.5,98.5,96.7
"None education",68.1,80.3,85.7,83.6,85.7,83.8,86.4,82.9
"Some primary",89.8,94.9,95.9,98.1,98.3,95,94.6,95.6
"Primary completed",95.4,99,99.9,98.2,100,99.6,99.5,98.9
"Secondary or more",99.9,100,100,100,99.5,100,98.5,99.8
"Total",88.6,94.4,95.5,95.6,95.5,93.4,93.3,94.2
